Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Last_TFS_Unit_Clear_Time,Latitude,Longitude,Possible_Cause,Property_Use,TFS_Alarm_Time,TFS_Arrival_Time
0,86,3000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2018-08-24T17:06:28,Undetermined,2018-08-24T17:42:43,43.7603573,-79.41247867,Undetermined,Multi-Unit Dwelling - Over 12 Units,2018-08-24T16:49:36,2018-08-24T16:54:09
0,28,50000,28,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2018-11-24T07:19:00,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",2018-11-24T12:45:21,43.75454169,-79.53041943,Under Investigation,Infirmary,2018-11-24T07:09:12,2018-11-24T07:14:23
1,16,1000000,130,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-02-09T18:36:21,Undetermined,2017-02-09T23:36:33,43.6573,-79.37346,Undetermined,Multi-Unit Dwelling - Over 12 Units,2017-02-09T17:45:07,2017-02-09T17:48:49
0,12,1000000,14,Undetermined,Fire alarm system operation undetermined,Undetermined,2012-10-30T01:28:48,Undetermined,2012-11-01T16:30:31,43.64935,-79.3937,Undetermined,"Clothing Store, Accessories, fur",2012-10-30T00:42:01,2012-10-30T00:44:58
8,11,125000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-07-08T04:38:28,Matches or Lighters (unable to distinguish),2018-07-08T16:44:07,43.6979603,-79.5115388,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,2018-07-08T04:08:50,2018-07-08T04:13:54
0,11,100000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2019-02-18T10:27:48,Vehicle - Electrical,2019-02-18T11:10:29,43.74148143,-79.39997881,Electrical Failure,Detached Dwelling,2019-02-18T10:19:01,2019-02-18T10:23:27
0,11,30000,13,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2015-03-07T04:59:00,Circuit Wiring - Copper,2015-03-07T07:23:14,43.63417,-79.4294,Electrical Failure,Other care facility,2015-03-07T04:38:13,2015-03-07T04:44:28
8,11,50000,40,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-06-09T16:20:00,"Stove, Range-top burner",2014-06-09T18:12:07,43.68603,-79.44397,Unattended,Multi-Unit Dwelling - Over 12 Units,2014-06-09T16:05:44,2014-06-09T16:09:50
0,10,250000,10,Undetermined,Fire alarm system operation undetermined,Undetermined,2014-03-20T02:48:02,Undetermined,2014-03-20T15:05:47,43.6544,-79.39864,Undetermined,Rooming/Boarding/Lodging House,2014-03-20T01:53:12,2014-03-20T01:57:58
2,10,450000,200,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-02-16T01:14:14,"Distribution Equipment (includes panel boards, fuses, circuit br",2011-02-16T05:38:49,43.68797,-79.35087,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2011-02-15T23:22:11,2011-02-15T23:26:53
0,7,10000,4,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-05-11T07:19:12,Clothes Dryer,2018-05-11T07:54:51,43.65274332,-79.43672202,Electrical Failure,Semi-Detached Dwelling,2018-05-11T07:06:07,2018-05-11T07:09:39
